rating_status,total_hospitals,hospitals_with_emergency_services,hospitals_without_emergency_services,percent_with_emergency_services,percent_without_emergency_services
Rated,2866,2724,142,95.05,4.95
Unrated,2560,1775,785,69.34,30.66
